					decimal inputs									binary inputs									with leading zeros									
"{"""", ""4TSGNSTP"", 0x0228, S32L, RO, CSX, ""139 Signed steps motor 4"" },"	.		0		1	556	0	0	0	0	3	0		0001	1000101100	0	0	0	0	11	0		0001	0000000000000000001000101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSGNSTP"", 0x022C, S32L, RO, CSX, ""140 Signed steps motor 5"" },"	.		0		1	560	0	0	0	0	3	0		0001	1000110000	0	0	0	0	11	0		0001	0000000000000000001000110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSGNSTP"", 0x0230, S32L, RO, CSX, ""141 Signed steps motor 6"" },"	.		0		1	564	0	0	0	0	3	0		0001	1000110100	0	0	0	0	11	0		0001	0000000000000000001000110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSGNSTP"", 0x0234, S32L, RO, CSX, ""142 Signed steps motor 7"" },"	.		0		1	568	0	0	0	0	3	0		0001	1000111000	0	0	0	0	11	0		0001	0000000000000000001000111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSGNSTP"", 0x0238, S32L, RO, CSX, ""143 Signed steps motor 8"" },"	.		0		1	572	0	0	0	0	3	0		0001	1000111100	0	0	0	0	11	0		0001	0000000000000000001000111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TABSSTP"", 0x023C, U32L, RO, CSX, ""144 Absolute steps motor 1"" },"	.		0		1	576	0	0	0	0	3	0		0001	1001000000	0	0	0	0	11	0		0001	0000000000000000001001000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100100000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TABSSTP"", 0x0240, U32L, RO, CSX, ""145 Absolute steps motor 2"" },"	.		0		1	580	0	0	0	0	3	0		0001	1001000100	0	0	0	0	11	0		0001	0000000000000000001001000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100100010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TABSSTP"", 0x0244, U32L, RO, CSX, ""146 Absolute steps motor 3"" },"	.		0		1	584	0	0	0	0	3	0		0001	1001001000	0	0	0	0	11	0		0001	0000000000000000001001001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100100100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TABSSTP"", 0x0248, U32L, RO, CSX, ""147 Absolute steps motor 4"" },"	.		0		1	588	0	0	0	0	3	0		0001	1001001100	0	0	0	0	11	0		0001	0000000000000000001001001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100100110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TABSSTP"", 0x024C, U32L, RO, CSX, ""148 Absolute steps motor 5"" },"	.		0		1	592	0	0	0	0	3	0		0001	1001010000	0	0	0	0	11	0		0001	0000000000000000001001010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100101000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TABSSTP"", 0x0250, U32L, RO, CSX, ""149 Absolute steps motor 6"" },"	.		0		1	596	0	0	0	0	3	0		0001	1001010100	0	0	0	0	11	0		0001	0000000000000000001001010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100101010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TABSSTP"", 0x0254, U32L, RO, CSX, ""150 Absolute steps motor 7"" },"	.		0		1	600	0	0	0	0	3	0		0001	1001011000	0	0	0	0	11	0		0001	0000000000000000001001011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100101100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TABSSTP"", 0x0258, U32L, RO, CSX, ""151 Absolute steps motor 8"" },"	.		0		1	604	0	0	0	0	3	0		0001	1001011100	0	0	0	0	11	0		0001	0000000000000000001001011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000100101110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSGNLMT"", 0x025C, U32L, RW, CSX, ""152 Signed steps limit motor 1"" },"	.		0		0	608	0	0	0	0	3	0		0000	1001100000	0	0	0	0	11	0		0000	0000000000000000001001100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100110000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSGNLMT"", 0x0260, U32L, RW, CSX, ""153 Signed steps limit motor 2"" },"	.		0		0	612	0	0	0	0	3	0		0000	1001100100	0	0	0	0	11	0		0000	0000000000000000001001100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100110010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSGNLMT"", 0x0264, U32L, RW, CSX, ""154 Signed steps limit motor 3"" },"	.		0		0	616	0	0	0	0	3	0		0000	1001101000	0	0	0	0	11	0		0000	0000000000000000001001101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100110100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSGNLMT"", 0x0268, U32L, RW, CSX, ""155 Signed steps limit motor 4"" },"	.		0		0	620	0	0	0	0	3	0		0000	1001101100	0	0	0	0	11	0		0000	0000000000000000001001101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100110110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSGNLMT"", 0x026C, U32L, RW, CSX, ""156 Signed steps limit motor 5"" },"	.		0		0	624	0	0	0	0	3	0		0000	1001110000	0	0	0	0	11	0		0000	0000000000000000001001110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSGNLMT"", 0x0270, U32L, RW, CSX, ""157 Signed steps limit motor 6"" },"	.		0		0	628	0	0	0	0	3	0		0000	1001110100	0	0	0	0	11	0		0000	0000000000000000001001110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSGNLMT"", 0x0274, U32L, RW, CSX, ""158 Signed steps limit motor 7"" },"	.		0		0	632	0	0	0	0	3	0		0000	1001111000	0	0	0	0	11	0		0000	0000000000000000001001111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSGNLMT"", 0x0278, U32L, RW, CSX, ""159 Signed steps limit motor 8"" },"	.		0		0	636	0	0	0	0	3	0		0000	1001111100	0	0	0	0	11	0		0000	0000000000000000001001111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000100111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TABSLMT"", 0x027C, U32L, RW, CSX, ""160 Absolute steps limit motor 1"" },"	.		0		0	640	0	0	0	0	3	0		0000	1010000000	0	0	0	0	11	0		0000	0000000000000000001010000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TABSLMT"", 0x0280, U32L, RW, CSX, ""161 Absolute steps limit motor 2"" },"	.		0		0	644	0	0	0	0	3	0		0000	1010000100	0	0	0	0	11	0		0000	0000000000000000001010000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TABSLMT"", 0x0284, U32L, RW, CSX, ""162 Absolute steps limit motor 3"" },"	.		0		0	648	0	0	0	0	3	0		0000	1010001000	0	0	0	0	11	0		0000	0000000000000000001010001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TABSLMT"", 0x0288, U32L, RW, CSX, ""163 Absolute steps limit motor 4"" },"	.		0		0	652	0	0	0	0	3	0		0000	1010001100	0	0	0	0	11	0		0000	0000000000000000001010001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TABSLMT"", 0x028C, U32L, RW, CSX, ""164 Absolute steps limit motor 5"" },"	.		0		0	656	0	0	0	0	3	0		0000	1010010000	0	0	0	0	11	0		0000	0000000000000000001010010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TABSLMT"", 0x0290, U32L, RW, CSX, ""165 Absolute steps limit motor 6"" },"	.		0		0	660	0	0	0	0	3	0		0000	1010010100	0	0	0	0	11	0		0000	0000000000000000001010010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TABSLMT"", 0x0294, U32L, RW, CSX, ""166 Absolute steps limit motor 7"" },"	.		0		0	664	0	0	0	0	3	0		0000	1010011000	0	0	0	0	11	0		0000	0000000000000000001010011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TABSLMT"", 0x0298, U32L, RW, CSX, ""167 Absolute steps limit motor 8"" },"	.		0		0	668	0	0	0	0	3	0		0000	1010011100	0	0	0	0	11	0		0000	0000000000000000001010011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TABSSUB"", 0x029C, U32L, RW, CSX, ""168 Absolute subtract motor 1"" },"	.		0		0	672	0	0	0	0	3	0		0000	1010100000	0	0	0	0	11	0		0000	0000000000000000001010100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TABSSUB"", 0x02A0, U32L, RW, CSX, ""169 Absolute subtract motor 2"" },"	.		0		0	676	0	0	0	0	3	0		0000	1010100100	0	0	0	0	11	0		0000	0000000000000000001010100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TABSSUB"", 0x02A4, U32L, RW, CSX, ""170 Absolute subtract motor 3"" },"	.		0		0	680	0	0	0	0	3	0		0000	1010101000	0	0	0	0	11	0		0000	0000000000000000001010101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TABSSUB"", 0x02A8, U32L, RW, CSX, ""171 Absolute subtract motor 4"" },"	.		0		0	684	0	0	0	0	3	0		0000	1010101100	0	0	0	0	11	0		0000	0000000000000000001010101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TABSSUB"", 0x02AC, U32L, RW, CSX, ""172 Absolute subtract motor 5"" },"	.		0		0	688	0	0	0	0	3	0		0000	1010110000	0	0	0	0	11	0		0000	0000000000000000001010110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TABSSUB"", 0x02B0, U32L, RW, CSX, ""173 Absolute subtract motor 6"" },"	.		0		0	692	0	0	0	0	3	0		0000	1010110100	0	0	0	0	11	0		0000	0000000000000000001010110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TABSSUB"", 0x02B4, U32L, RW, CSX, ""174 Absolute subtract motor 7"" },"	.		0		0	696	0	0	0	0	3	0		0000	1010111000	0	0	0	0	11	0		0000	0000000000000000001010111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TABSSUB"", 0x02B8, U32L, RW, CSX, ""175 Absolute subtract motor 8"" },"	.		0		0	700	0	0	0	0	3	0		0000	1010111100	0	0	0	0	11	0		0000	0000000000000000001010111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TPZTVAL"", 0x02BC, S32L, RO, CSX, ""176 PZT value cavity 1"" },"	.		0		1	704	0	0	0	0	3	0		0001	1011000000	0	0	0	0	11	0		0001	0000000000000000001011000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101100000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TPZTVAL"", 0x02C0, S32L, RO, CSX, ""177 PZT value cavit 2"" },"	.		0		1	708	0	0	0	0	3	0		0001	1011000100	0	0	0	0	11	0		0001	0000000000000000001011000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101100010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TPZTVAL"", 0x02C4, S32L, RO, CSX, ""178 PZT value cavit 3"" },"	.		0		1	712	0	0	0	0	3	0		0001	1011001000	0	0	0	0	11	0		0001	0000000000000000001011001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101100100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TPZTVAL"", 0x02C8, S32L, RO, CSX, ""179 PZT value cavit 4"" },"	.		0		1	716	0	0	0	0	3	0		0001	1011001100	0	0	0	0	11	0		0001	0000000000000000001011001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101100110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TPZTVAL"", 0x02CC, S32L, RO, CSX, ""180 PZT value cavit 5"" },"	.		0		1	720	0	0	0	0	3	0		0001	1011010000	0	0	0	0	11	0		0001	0000000000000000001011010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101101000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TPZTVAL"", 0x02D0, S32L, RO, CSX, ""181 PZT value cavit 6"" },"	.		0		1	724	0	0	0	0	3	0		0001	1011010100	0	0	0	0	11	0		0001	0000000000000000001011010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101101010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TPZTVAL"", 0x02D4, S32L, RO, CSX, ""182 PZT value cavit 7"" },"	.		0		1	728	0	0	0	0	3	0		0001	1011011000	0	0	0	0	11	0		0001	0000000000000000001011011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101101100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TPZTVAL"", 0x02D8, S32L, RO, CSX, ""183 PZT value cavit 8"" },"	.		0		1	732	0	0	0	0	3	0		0001	1011011100	0	0	0	0	11	0		0001	0000000000000000001011011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0001000000000000000000101101110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TPZTHI"", 0x02DC, S32L, RW, CSX, ""184 PZT high limit cavity 1"" },"	.		0		0	736	0	0	0	0	3	0		0000	1011100000	0	0	0	0	11	0		0000	0000000000000000001011100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101110000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TPZTHI"", 0x02E0, S32L, RW, CSX, ""185 PZT high limit cavity 2"" },"	.		0		0	740	0	0	0	0	3	0		0000	1011100100	0	0	0	0	11	0		0000	0000000000000000001011100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101110010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TPZTHI"", 0x02E4, S32L, RW, CSX, ""186 PZT high limit cavity 3"" },"	.		0		0	744	0	0	0	0	3	0		0000	1011101000	0	0	0	0	11	0		0000	0000000000000000001011101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101110100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TPZTHI"", 0x02E8, S32L, RW, CSX, ""187 PZT high limit cavity 4"" },"	.		0		0	748	0	0	0	0	3	0		0000	1011101100	0	0	0	0	11	0		0000	0000000000000000001011101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101110110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TPZTHI"", 0x02EC, S32L, RW, CSX, ""188 PZT high limit cavity 5"" },"	.		0		0	752	0	0	0	0	3	0		0000	1011110000	0	0	0	0	11	0		0000	0000000000000000001011110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101111000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TPZTHI"", 0x02F0, S32L, RW, CSX, ""189 PZT high limit cavity 6"" },"	.		0		0	756	0	0	0	0	3	0		0000	1011110100	0	0	0	0	11	0		0000	0000000000000000001011110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101111010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TPZTHI"", 0x02F4, S32L, RW, CSX, ""190 PZT high limit cavity 7"" },"	.		0		0	760	0	0	0	0	3	0		0000	1011111000	0	0	0	0	11	0		0000	0000000000000000001011111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101111100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TPZTHI"", 0x02F8, S32L, RW, CSX, ""191 PZT high limit cavity 8"" },"	.		0		0	764	0	0	0	0	3	0		0000	1011111100	0	0	0	0	11	0		0000	0000000000000000001011111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000101111110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TPZTLO"", 0x02FC, S32L, RW, CSX, ""192 PZT low limit cavity 1"" },"	.		0		0	768	0	0	0	0	3	0		0000	1100000000	0	0	0	0	11	0		0000	0000000000000000001100000000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110000000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TPZTLO"", 0x0300, S32L, RW, CSX, ""193 PZT low limit cavity 2"" },"	.		0		0	772	0	0	0	0	3	0		0000	1100000100	0	0	0	0	11	0		0000	0000000000000000001100000100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110000010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TPZTLO"", 0x0304, S32L, RW, CSX, ""194 PZT low limit cavity 3"" },"	.		0		0	776	0	0	0	0	3	0		0000	1100001000	0	0	0	0	11	0		0000	0000000000000000001100001000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110000100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TPZTLO"", 0x0308, S32L, RW, CSX, ""195 PZT low limit cavity 4"" },"	.		0		0	780	0	0	0	0	3	0		0000	1100001100	0	0	0	0	11	0		0000	0000000000000000001100001100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110000110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TPZTLO"", 0x030C, S32L, RW, CSX, ""196 PZT low limit cavity 5"" },"	.		0		0	784	0	0	0	0	3	0		0000	1100010000	0	0	0	0	11	0		0000	0000000000000000001100010000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110001000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TPZTLO"", 0x0310, S32L, RW, CSX, ""197 PZT low limit cavity 6"" },"	.		0		0	788	0	0	0	0	3	0		0000	1100010100	0	0	0	0	11	0		0000	0000000000000000001100010100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110001010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TPZTLO"", 0x0314, S32L, RW, CSX, ""198 PZT low limit cavity 7"" },"	.		0		0	792	0	0	0	0	3	0		0000	1100011000	0	0	0	0	11	0		0000	0000000000000000001100011000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110001100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TPZTLO"", 0x0318, S32L, RW, CSX, ""199 PZT low limit cavity 8"" },"	.		0		0	796	0	0	0	0	3	0		0000	1100011100	0	0	0	0	11	0		0000	0000000000000000001100011100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110001110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""1TSTPI"", 0x031C, U32L, RW, , ""200 motor current stepper 1"" },"	.		0		0	800	0	0	0	0	3	0		0000	1100100000	0	0	0	0	11	0		0000	0000000000000000001100100000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110010000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""2TSTPI"", 0x0320, U32L, RW, , ""201 motor current stepper 2"" },"	.		0		0	804	0	0	0	0	3	0		0000	1100100100	0	0	0	0	11	0		0000	0000000000000000001100100100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110010010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""3TSTPI"", 0x0324, U32L, RW, , ""202 motor current stepper 3"" },"	.		0		0	808	0	0	0	0	3	0		0000	1100101000	0	0	0	0	11	0		0000	0000000000000000001100101000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110010100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""4TSTPI"", 0x0328, U32L, RW, , ""203 motor current stepper 4"" },"	.		0		0	812	0	0	0	0	3	0		0000	1100101100	0	0	0	0	11	0		0000	0000000000000000001100101100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110010110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""5TSTPI"", 0x032C, U32L, RW, , ""204 motor current stepper 5"" },"	.		0		0	816	0	0	0	0	3	0		0000	1100110000	0	0	0	0	11	0		0000	0000000000000000001100110000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110011000000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""6TSTPI"", 0x0330, U32L, RW, , ""205 motor current stepper 6"" },"	.		0		0	820	0	0	0	0	3	0		0000	1100110100	0	0	0	0	11	0		0000	0000000000000000001100110100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110011010000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""7TSTPI"", 0x0334, U32L, RW, , ""206 motor current stepper 7"" },"	.		0		0	824	0	0	0	0	3	0		0000	1100111000	0	0	0	0	11	0		0000	0000000000000000001100111000	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110011100000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
"{"""", ""8TSTPI"", 0x0338, , , , ""207 motor current stepper 8"" },"	.		0		0	828	0	0	0	0	3	0		0000	1100111100	0	0	0	0	11	0		0000	0000000000000000001100111100	00000000000000000000000000000000	00000000	00000000	00000000	0011	00000000000000000000000000000000		0000000000000000000000110011110000000000000000000000000000000000000000000000000000000000001100000000000000000000000000000000
																																
